"","participation","income","age","education","youngkids","oldkids","foreign","total_kids"
"553","no",10.649899,4.8,8,0,2,"no",2
"554","no",10.526564,2.1,11,1,0,"no",1
"555","no",10.236696,5.8,5,0,0,"no",0
"556","no",10.225496,6,8,0,0,"no",0
"557","no",11.047337,4.8,11,0,1,"no",1
"558","yes",11.304028,3.5,13,0,1,"no",1
"559","no",10.554331,4.9,11,0,0,"no",0
"560","yes",10.260208,4.4,7,0,1,"no",1
"561","no",11.383919,4.7,13,0,0,"no",0
"562","no",10.737768,5.3,8,0,0,"no",0
"563","no",10.888288,4.6,12,0,2,"no",2
"564","no",11.816648,5.4,13,0,2,"no",2
"565","no",9.994667,5.9,11,0,0,"no",0
"566","no",10.754622,5.7,10,0,0,"no",0
"567","no",10.44249,4.2,5,0,0,"no",0
"568","no",10.009821,6.2,11,0,0,"no",0
"569","no",10.583045,4.6,4,0,2,"no",2
"570","no",10.811378,3.5,12,0,2,"no",2
"571","no",10.958915,3.2,12,2,0,"no",2
"572","no",9.946032,3.5,12,0,2,"no",2
"573","no",10.498668,4,11,0,2,"no",2
"574","yes",10.5957,2.5,14,0,0,"no",0
"575","no",10.525842,4,12,0,1,"no",1
"576","no",10.783294,2.9,10,0,0,"no",0
"577","no",11.11614,3.7,11,0,2,"no",2
"578","no",11.151357,5.3,5,0,1,"no",1
"579","no",9.824778,6,9,0,0,"no",0
"580","yes",9.895686,4.2,9,0,3,"no",3
"581","no",10.655496,3.2,12,0,3,"no",3
"582","no",9.763989,5.9,5,0,0,"no",0
"583","yes",9.878902,4.5,8,0,1,"no",1
"584","no",11.134995,5.1,8,0,1,"no",1
"585","yes",10.401523,3.5,8,0,0,"no",0
"586","no",10.749253,2.8,11,0,0,"no",0
"587","no",10.333153,5.7,5,0,0,"no",0
"588","yes",10.823801,2.6,7,1,0,"no",1
"589","yes",10.321485,4.2,5,0,0,"no",0
"590","no",10.656044,3.1,12,1,1,"no",2
"591","no",10.657436,5.5,8,0,0,"no",0
"592","no",10.846169,4.2,15,0,2,"no",2
"593","no",11.078196,4,11,0,3,"no",3
"594","no",10.453034,4.7,11,0,0,"no",0
"595","no",10.654172,4.7,9,0,1,"no",1
"596","yes",10.646433,2.6,13,1,0,"no",1
"597","no",11.280745,4.4,9,1,0,"no",1
"598","no",10.583034,2.3,9,0,1,"no",1
"599","no",10.871061,5,8,0,0,"no",0
"600","no",10.263108,5.8,12,0,0,"no",0
"601","yes",11.067098,4,9,0,2,"no",2
"602","yes",10.517282,3.3,12,0,2,"no",2
"603","yes",11.172825,3,15,0,0,"no",0
"604","no",10.596755,3.1,12,1,0,"no",1
"605","no",11.797981,3.1,12,2,0,"no",2
"606","yes",10.552378,3.3,9,1,1,"no",2
"607","no",10.794188,3.5,12,0,2,"no",2
"608","yes",10.139508,2.6,11,0,0,"no",0
"609","no",10.855759,2.4,14,1,0,"no",1
"610","no",10.96235,6.1,5,0,0,"no",0
"611","no",10.757639,2.9,10,0,1,"no",1
"612","yes",9.554492,5.9,8,0,0,"no",0
"613","no",10.505683,2.7,12,1,0,"no",1
"614","no",9.855987,6.2,11,0,0,"no",0
"615","yes",10.790935,4.4,12,0,0,"no",0
"616","yes",10.652796,3.6,10,0,0,"no",0
"617","no",10.539981,4,11,0,2,"no",2
"618","no",11.339795,4.8,10,0,1,"no",1
"619","yes",11.224238,3.5,16,0,2,"no",2
"620","no",11.109163,3.2,12,1,1,"no",2
"621","no",10.866395,3.2,12,1,0,"no",1
"622","no",11.186703,4.9,8,0,0,"no",0
"623","yes",10.192269,4.3,11,0,1,"no",1
"624","no",12.37565,3.9,12,0,4,"no",4
"625","no",10.472476,2.7,11,1,1,"no",2
"626","no",12.281528,4.2,12,0,3,"no",3
"627","no",10.537006,5.6,12,0,1,"no",1
"628","no",10.899256,3.1,13,0,3,"no",3
"629","yes",10.658714,3.7,4,0,2,"no",2
"630","no",10.441724,3.8,8,0,1,"no",1
"631","no",10.407655,5.1,8,0,0,"no",0
"632","no",10.694172,5,9,0,0,"no",0
"633","no",9.886124,6,5,0,0,"no",0
"634","yes",10.479397,3.5,9,0,2,"no",2
"635","yes",11.072008,3.5,11,0,2,"no",2
"636","yes",10.455375,4.5,8,0,2,"no",2
"637","no",10.657366,2.4,11,2,0,"no",2
"638","no",10.452542,3.5,8,1,1,"no",2
"639","yes",10.408072,3.2,17,1,0,"no",1
"640","yes",10.242023,3.3,12,0,2,"no",2
"641","no",10.594236,4.6,8,0,1,"no",1
"642","no",11.764058,5,5,0,2,"no",2
"643","no",10.828298,3.2,12,0,0,"no",0
"644","no",10.255769,5.8,8,0,0,"no",0
"645","no",10.703698,4.1,8,0,2,"no",2
"646","no",10.915251,3.4,6,0,2,"no",2
"647","no",10.522782,2.1,4,1,0,"no",1
"648","no",10.271325,5.6,13,0,0,"no",0
"649","no",10.226447,3.4,8,0,3,"no",3
"650","no",10.265912,3.7,10,0,1,"no",1
"651","no",11.016894,3.1,12,0,1,"no",1
"652","no",10.607904,2.2,11,1,0,"no",1
"653","no",10.711562,3.2,11,1,1,"no",2
"654","yes",10.83166,4.1,8,0,3,"no",3
"655","no",10.759536,3.7,12,0,4,"no",4
"656","no",10.591802,2.9,10,0,0,"no",0
"657","yes",10.616046,4.6,9,0,1,"yes",1
"658","yes",10.391358,2.6,7,2,0,"yes",2
"659","yes",10.795493,4.4,9,0,0,"yes",0
"660","yes",10.38051,4.8,4,0,0,"yes",0
"661","yes",10.564662,3.4,4,0,3,"yes",3
"662","no",10.698279,3.4,12,1,2,"yes",3
"663","no",10.610146,4.8,5,0,0,"yes",0
"664","yes",10.684275,2.8,6,1,2,"yes",3
"665","yes",10.626887,3.2,5,0,2,"yes",2
"666","yes",10.409648,5,4,0,3,"yes",3
"667","yes",10.543944,3.6,5,2,1,"yes",3
"668","yes",11.22967,5,12,0,0,"yes",0
"669","no",10.503701,2.5,11,2,0,"yes",2
"670","yes",10.696332,3,11,3,0,"yes",3
"671","yes",10.421497,2.5,5,0,2,"yes",2
"672","yes",10.59306,3.2,8,1,1,"yes",2
"673","yes",10.531076,2.9,10,1,1,"yes",2
"674","no",10.5864,4.4,7,0,2,"yes",2
"675","yes",10.447639,4,5,0,3,"yes",3
"676","no",10.633358,5.2,12,0,0,"yes",0
"677","yes",10.619115,2.7,8,2,1,"yes",3
"678","yes",10.814894,3.2,8,0,1,"yes",1
"679","no",10.633692,3,12,2,0,"yes",2
"680","yes",10.495332,4,5,0,1,"yes",1
"681","yes",10.69087,4.7,4,0,0,"yes",0
"682","yes",10.389276,4.8,4,0,1,"yes",1
"683","yes",10.506461,3.6,6,0,1,"yes",1
"684","yes",10.806028,3.8,10,0,1,"yes",1
"685","yes",10.605672,3.8,3,0,1,"yes",1
"686","no",10.439596,4.8,11,0,0,"yes",0
"687","yes",10.422506,4.1,7,0,0,"yes",0
"688","yes",10.436939,3.9,4,0,2,"yes",2
"689","no",10.630927,3.1,9,2,0,"yes",2
"690","no",10.945442,3.2,7,0,2,"yes",2
"691","no",10.902927,4.1,4,1,1,"yes",2
"692","yes",10.706151,3.6,5,0,2,"yes",2
"693","yes",10.56807,3.8,3,0,3,"yes",3
"694","yes",10.255037,5.7,3,0,0,"yes",0
"695","yes",10.577855,3.4,8,0,2,"yes",2
"696","yes",10.562634,4.2,5,0,3,"yes",3
"697","yes",10.89776,3.2,11,0,0,"yes",0
"698","yes",10.181681,4.8,5,0,2,"yes",2
"699","yes",10.391575,2.2,9,2,0,"yes",2
"700","no",10.551271,3.1,8,0,2,"yes",2
"701","yes",10.573802,2.6,4,0,0,"yes",0
"702","yes",10.688289,4.3,11,0,1,"yes",1
"703","yes",10.486849,4.4,4,0,2,"yes",2
"704","yes",10.108172,4.5,4,0,1,"yes",1
"705","yes",10.638368,2.9,5,1,1,"yes",2
"706","yes",10.368427,4.6,4,0,0,"yes",0
"707","yes",10.678598,3.1,5,1,1,"yes",2
"708","yes",10.599005,2.1,11,0,0,"yes",0
"709","yes",11.165198,4.1,12,0,1,"yes",1
"710","no",10.614234,2.8,8,1,2,"yes",3
"711","no",10.705376,3.9,2,1,0,"yes",1
"712","yes",10.433034,4.5,3,0,1,"yes",1
"713","no",10.321651,4.9,4,0,1,"yes",1
"714","yes",10.574284,4.2,10,0,2,"yes",2
"715","no",9.737393,5.9,4,0,0,"yes",0
"716","yes",10.599734,5.4,5,0,0,"yes",0
"717","yes",10.277369,3.3,7,0,3,"yes",3
"718","no",10.472802,2.4,9,1,1,"yes",2
"719","yes",10.349497,3.5,5,0,0,"yes",0
"720","yes",10.559267,4.9,8,0,0,"yes",0
"721","no",10.587798,4.8,5,1,2,"yes",3
"722","yes",10.363468,4.1,5,0,0,"yes",0
"723","yes",10.422002,3.7,5,0,2,"yes",2
"724","yes",10.472802,3.8,9,0,4,"yes",4
"725","yes",10.56164,4.2,7,0,1,"yes",1
"726","no",11.587482,4.6,11,0,1,"yes",1
"727","yes",10.460904,3.3,5,0,2,"yes",2
"728","no",11.600476,5.5,15,0,0,"yes",0
"729","yes",10.464381,5,5,0,2,"yes",2
"730","yes",10.379642,2.2,6,1,0,"yes",1
"731","no",10.501483,4,5,0,2,"yes",2
"732","no",10.506813,4.7,5,0,1,"yes",1
"733","yes",10.628378,5,10,0,0,"yes",0
"734","yes",10.610259,2.8,8,0,2,"yes",2
"735","no",10.612646,3.9,5,0,3,"yes",3
"736","yes",10.696993,3.6,12,0,2,"yes",2
"737","yes",10.710382,3.9,4,0,2,"yes",2
"738","yes",10.437066,4.8,4,0,0,"yes",0
"739","no",10.568229,2.9,5,2,0,"yes",2
"740","yes",10.558129,4.6,5,0,0,"yes",0
"741","yes",10.378959,5.8,5,0,0,"yes",0
"742","no",10.476105,2.5,5,1,0,"yes",1
"743","no",10.603369,2.9,5,1,2,"yes",3
"744","yes",10.49096,2.1,11,0,0,"yes",0
"745","yes",10.600079,3.1,5,0,1,"yes",1
"746","yes",10.536475,3.5,4,0,2,"yes",2
"747","yes",10.831383,3,5,0,2,"yes",2
"748","yes",10.461597,3.1,8,1,0,"yes",1
"749","yes",10.49143,3.4,12,1,1,"yes",2
"750","yes",10.444563,2.8,11,3,0,"yes",3
"751","yes",10.530988,4.1,2,0,2,"yes",2
"752","no",11.254684,5.9,8,0,0,"yes",0
"753","yes",10.644262,2.7,9,1,2,"yes",3
"754","no",11.134107,5.4,16,0,0,"yes",0
"755","no",11.163557,4,11,1,1,"yes",2
"756","yes",10.748157,3.5,7,0,1,"yes",1
"757","yes",10.424117,3.9,5,0,3,"yes",3
"758","no",10.358268,4.3,5,0,2,"yes",2
"759","yes",10.546735,3.6,8,0,2,"yes",2
"760","yes",10.167575,4.6,4,0,0,"yes",0
"761","yes",10.232409,4.4,4,0,0,"yes",0
"762","yes",10.415019,4.4,6,0,0,"yes",0
"763","yes",9.439709,2.9,1,2,0,"yes",2
"764","yes",10.526048,3.2,10,1,2,"yes",3
"765","yes",10.169228,5.5,5,0,0,"yes",0
"766","yes",10.403554,3.4,5,0,2,"yes",2
"767","yes",10.375732,3.7,8,1,1,"yes",2
"768","yes",10.51803,2.6,5,0,1,"yes",1
"769","no",11.197707,3.8,12,0,1,"yes",1
"770","no",10.387608,4.5,8,0,1,"yes",1
"771","no",10.592153,3.4,8,0,2,"yes",2
"772","yes",10.554045,3.6,6,0,2,"yes",2
"773","yes",10.591844,2.6,10,0,2,"yes",2
"774","yes",10.406093,4,5,1,1,"yes",2
"775","no",10.680139,4,9,0,1,"yes",1
"776","no",9.281793,5.7,5,0,0,"yes",0
"777","no",10.529899,2.5,8,2,0,"yes",2
"778","yes",10.524458,3,8,0,1,"yes",1
"779","yes",10.645608,2.5,7,1,1,"yes",2
"780","yes",10.610342,4.3,2,0,2,"yes",2
"781","no",11.292684,4.6,10,0,1,"yes",1
"782","no",10.5143,2.6,7,1,1,"yes",2
"783","yes",10.364109,2.3,4,1,0,"yes",1
"784","yes",10.678174,3.2,8,0,2,"yes",2
"785","yes",10.676672,3.4,13,0,2,"yes",2
"786","yes",10.451906,3.3,3,1,1,"yes",2
"787","yes",10.493905,2.5,6,0,1,"yes",1
"788","yes",10.933745,3.9,11,0,2,"yes",2
"789","yes",10.220448,3.2,9,1,0,"yes",1
"790","yes",10.279145,4.7,5,0,0,"yes",0
"791","yes",10.376983,4.6,9,0,1,"yes",1
"792","yes",10.548088,4.1,8,0,2,"yes",2
"793","yes",10.457786,2.5,5,2,1,"yes",3
"794","yes",10.507745,3.9,10,0,1,"yes",1
"795","yes",10.474064,5.1,3,0,0,"yes",0
"796","yes",10.325908,5.1,10,0,0,"yes",0
"797","yes",10.399045,4.9,16,0,0,"yes",0
"798","yes",10.339881,3.5,8,1,2,"yes",3
"799","no",10.522865,2.7,7,1,1,"yes",2
"800","no",10.114141,4.7,4,0,1,"yes",1
"801","no",10.522161,3,8,3,0,"yes",3
"802","no",10.414384,3.2,5,2,1,"yes",3
"803","yes",10.491921,3.4,8,0,3,"yes",3
"804","yes",10.202841,4.1,4,0,0,"yes",0
"805","yes",10.465267,2.6,6,1,2,"yes",3
"806","no",10.60335,3.3,8,2,0,"yes",2
"807","yes",9.546312,4.9,6,0,3,"yes",3
"808","no",10.420614,4.1,6,0,3,"yes",3
"809","yes",11.002878,3.7,9,0,2,"yes",2
"810","yes",10.446016,4,3,0,2,"yes",2
"811","yes",10.31609,5,6,0,1,"yes",1
"812","yes",10.400943,2.9,8,0,2,"yes",2
"813","no",9.701465,2.6,4,1,1,"yes",2
"814","yes",10.481405,3.1,8,0,1,"yes",1
"815","yes",10.109776,3.2,5,0,1,"yes",1
"816","yes",10.656443,4.4,5,0,1,"yes",1
"817","no",10.527389,2.3,8,1,0,"yes",1
"818","no",10.2496,2.4,8,1,0,"yes",1
"819","no",10.742908,2.7,8,1,1,"yes",2
"820","yes",10.440141,2.8,8,0,1,"yes",1
"821","no",10.421623,5.2,4,0,1,"yes",1
"822","no",10.57064,4.7,12,0,2,"yes",2
"823","no",10.695252,4.2,8,0,2,"yes",2
"824","yes",10.364536,4.2,5,0,1,"yes",1
"825","yes",10.327931,4.7,4,0,0,"yes",0
"826","yes",10.177955,3.6,5,0,1,"yes",1
"827","yes",10.226662,4.1,8,0,0,"yes",0
"828","no",10.417757,3.8,3,1,1,"yes",2
"829","no",11.466458,3.6,13,0,2,"yes",2
"830","yes",10.362868,2.5,8,1,0,"yes",1
"831","no",10.412528,4.7,5,0,1,"yes",1
"832","yes",10.417331,4.4,7,0,1,"yes",1
"833","no",10.483624,4.4,2,0,1,"yes",1
"834","yes",10.451833,4.7,8,0,0,"yes",0
"835","yes",10.187326,2,5,1,0,"yes",1
"836","no",10.541466,4.1,8,0,1,"yes",1
"837","no",10.74696,5,7,0,1,"yes",1
"838","yes",10.442706,3.6,4,1,1,"yes",2
"839","yes",10.307899,2,8,0,0,"yes",0
"840","no",10.50997,2.8,6,2,0,"yes",2
"841","yes",10.302572,4.4,7,0,0,"yes",0
"842","yes",10.50766,3.5,9,0,2,"yes",2
"843","yes",10.662906,4.6,15,0,1,"yes",1
"844","yes",10.656736,2.6,9,1,0,"yes",1
"845","yes",10.554351,3.1,8,0,2,"yes",2
"846","no",10.500807,4.9,5,0,1,"yes",1
"847","no",10.31735,5.5,5,0,0,"yes",0
"848","yes",10.728559,4,4,0,1,"yes",1
"849","no",10.010429,5.7,6,0,1,"yes",1
"850","yes",10.474912,5.1,5,0,2,"yes",2
"851","yes",11.356841,5.6,3,0,0,"yes",0
"852","yes",10.483732,3.3,2,1,3,"yes",4
"853","yes",10.752502,4.1,5,0,2,"yes",2
"854","no",10.559347,3.2,12,1,0,"yes",1
"855","no",10.215829,2.5,11,1,0,"yes",1
"856","yes",11.574043,4.7,13,0,0,"yes",0
"857","yes",10.806046,3.1,16,2,0,"yes",2
"858","no",10.945839,3.3,14,0,2,"yes",2
"859","yes",10.379906,2.8,5,0,2,"yes",2
"860","yes",10.775556,3.8,11,0,0,"yes",0
"861","yes",10.528899,3.4,9,1,1,"yes",2
"862","yes",10.468534,3.3,6,0,2,"yes",2
"863","no",11.110955,3.5,10,1,1,"yes",2
"864","no",10.471365,5.1,9,0,1,"yes",1
"865","no",10.147503,4.1,5,1,0,"yes",1
"866","yes",10.69323,3.5,9,0,2,"yes",2
"867","yes",10.027595,4.2,14,0,0,"yes",0
"868","no",10.597393,2.4,4,2,1,"yes",3
"869","yes",10.377773,4.8,8,0,0,"yes",0
"870","no",10.13374,2.4,6,2,0,"yes",2
"871","yes",10.932351,4.1,10,0,1,"yes",1
"872","no",11.220691,5.1,10,0,0,"yes",0
